Date,Open,High,Low,Close,Adj Close,Volume
1984-08-03,706,718,706,713,713,0
1984-08-06,714,736,714,736,736,0
1984-08-07,736,736,728,728,728,0
1984-08-08,728,730,724,728,728,0
